english,chinese
ability,能力
able,能够的
abroad,在国外
absent,缺席的
accept,接受
accident,事故
achieve,实现
act,行动；表演
active,积极的
activity,活动
actually,实际上
add,增加
address,地址；演讲
admire,钦佩
advice,建议
afford,负担得起
afraid,害怕的
against,反对；倚靠
agree,同意
air,空气
alive,活着的
allow,允许
almost,几乎
alone,独自地
along,沿着
already,已经
although,尽管
altogether,总共
amazing,令人惊奇的
among,在……之中
ancient,古代的
anger,愤怒
animal,动物
announce,宣布
another,另一个
answer,回答
anxious,焦虑的
apologize,道歉
appear,出现
apply,申请；应用
argue,争论
arrange,安排
arrive,到达
article,文章
artist,艺术家
asleep,睡着的
attend,参加
attention,注意
attract,吸引
autumn,秋天
available,可获得的
avoid,避免
background,背景
balance,平衡
basic,基本的
battle,战斗
beauty,美丽
believe,相信
belong,属于
besides,此外
between,在……之间
beyond,超出
board,木板；登机
borrow,借入
brain,大脑
brave,勇敢的
breathe,呼吸
bridge,桥
bright,明亮的；聪明的
build,建造
business,商业
calendar,日历
campaign,活动；战役
cancel,取消
careful,仔细的
career,职业
carry,携带
cause,原因；导致
celebrate,庆祝
center,中心
certain,确定的
challenge,挑战
chance,机会
change,改变
character,人物；性格
charge,收费；负责
cheap,便宜的
check,检查
cheer,欢呼
choice,选择
citizen,公民
civilization,文明
classic,经典的
clear,清楚的
clever,聪明的
climate,气候
collect,收集
college,大学
comfort,安慰；舒适
common,普通的
communicate,交流
compare,比较
compete,竞争
complain,抱怨
complete,完成的；完成
confident,自信的
confuse,使困惑
connect,连接
consider,考虑
contact,联系
continue,继续
control,控制
convenient,方便的
corner,角落
correct,正确的；纠正
cost,花费
count,数数
country,国家；乡村
couple,一对；夫妻
courage,勇气
course,课程；过程
create,创造
culture,文化
curious,好奇的
custom,习俗
daily,每日的
danger,危险
decide,决定
decorate,装饰
deep,深的
defeat,打败
degree,程度；学位
delicious,美味的
depend,依靠
describe,描述
design,设计
desire,渴望
develop,发展
dialogue,对话
difference,差异
difficult,困难的
direct,直接的
discover,发现
discuss,讨论
disease,疾病
distance,距离
divide,分开
doubt,怀疑
dream,梦想
drive,驾驶；驱动
during,在……期间
effort,努力
encourage,鼓励
energy,精力；能源
engineer,工程师
environment,环境
especially,尤其
exchange,交换
excited,兴奋的
exercise,锻炼；练习
experience,经历；经验
explain,解释
express,表达
fact,事实
fail,失败
familiar,熟悉的
favorite,最喜欢的
feature,特点
festival,节日
finally,最终
foreign,外国的
forget,忘记
forward,向前
friendship,友谊
future,未来
gather,聚集
general,一般的
generous,慷慨的
gentle,温和的
government,政府
graduate,毕业
grateful,感激的
habit,习惯
healthy,健康的
honest,诚实的
however,然而
imagine,想象
improve,提高
include,包括
indeed,确实
influence,影响
instead,代替
interest,兴趣
international,国际的
introduce,介绍
invite,邀请
journey,旅行
knowledge,知识
language,语言
leader,领导者
learn,学习
library,图书馆
message,信息
method,方法
modern,现代的
nature,自然
necessary,必要的
notice,注意到；通知
offer,提供
opportunity,机会
ordinary,普通的
patient,病人；耐心的
perhaps,也许
popular,受欢迎的
possible,可能的
prepare,准备
progress,进步
protect,保护
provide,提供
realize,意识到
receive,收到
recent,最近的
remember,记得
respect,尊重
responsible,负责的
result,结果
review,复习；评论
science,科学
separate,分开的
society,社会
special,特别的
standard,标准
support,支持
suppose,假设
through,通过
towards,朝向
traditional,传统的
understand,理解
valuable,有价值的
various,各种各样的
victory,胜利
volunteer,志愿者
whether,是否
wonderful,极好的
adaptation,适应
admiration,赞赏
admit,承认；准许进入
adopt,采纳
advance,进步；前进
adventure,冒险
affair,事情
afternoon,下午
agency,代理机构
agriculture,农业
ahead,在前面
aid,援助
alarm,闹钟；警报
album,相册
alcohol,酒精
alike,相像的
aloud,大声地
alphabet,字母表
altitude,海拔
ambition,志向
ambulance,救护车
amusement,娱乐
ancestor,祖先
angle,角；角度
anniversary,周年纪念
annual,每年的
anxiety,忧虑
anyhow,无论如何
anywhere,任何地方
apology,道歉
apparent,明显的
appointment,约定
appreciate,感激；欣赏
appropriate,合适的
approval,赞成
argument,争论；论据
army,军队
arrival,到达
ashamed,惭愧的
assist,帮助
assume,假定
atmosphere,气氛；大气
attempt,尝试
attitude,态度
average,平均的
award,奖项；授予
aware,知道的
awkward,尴尬的；笨拙的
baggage,行李
bargain,便宜货；讨价还价
basically,基本上
battery,电池
behavior,行为
beneath,在……下面
benefit,益处；使受益
blanket,毯子
blame,责备
